name,slottime_GMT,slottype,slotavg,pointTitle
AliceCookHouse.CW.FP/TONS,2022-05-12 00:00:00,D,21.711911979,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-05-12 00:00:00,D,44.671875000,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-05-12 00:00:00,D,84.010526315,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-05-12 00:00:00,D,14515.033125000,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-05-12 00:00:00,D,8005.590937500,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-05-12 00:00:00,D,2953.506458333,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-05-13 00:00:00,D,37.826748958,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-05-13 00:00:00,D,53.141666666,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-05-13 00:00:00,D,97.331578947,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-05-13 00:00:00,D,19522.391343750,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-05-13 00:00:00,D,5229.992291666,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-05-13 00:00:00,D,2545.455937500,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-05-14 00:00:00,D,43.903806250,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-05-14 00:00:00,D,65.335789473,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-05-14 00:00:00,D,112.610416666,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-05-14 00:00:00,D,29828.812500000,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-05-14 00:00:00,D,5267.220625000,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-05-14 00:00:00,D,2560.632083333,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-05-15 00:00:00,D,43.872927083,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-05-15 00:00:00,D,63.869791666,Electric for Dining
